URL	Label	Score
*.baseball-almanac.com/*	_cse_galkqgoksq0	
*.unesco.org/*	_cse_galkqgoksq0	
*.livius.org/*	_cse_galkqgoksq0	
*.thecanadianencyclopedia.com/*	_cse_galkqgoksq0	
*.channel4.com/*	_cse_galkqgoksq0	
*.columbia.edu/*	_cse_galkqgoksq0	
*.cdc.gov/*	_cse_galkqgoksq0	
opsi.gov.uk/*	_cse_galkqgoksq0	
*.pokemon.com/*	_cse_galkqgoksq0	
schoolnet.co.uk/*	_cse_galkqgoksq0	
*.americantheatrewing.org/*	_cse_galkqgoksq0	
*.boston.com/*	_cse_galkqgoksq0	
*.nps.gov/*	_cse_galkqgoksq0	
*.cbc.ca/*	_cse_galkqgoksq0	
*.yale.edu/*	_cse_galkqgoksq0	
*.chabad.org/*	_cse_galkqgoksq0	
*.nfl.com/*	_cse_galkqgoksq0	
*.stationreporter.net/*	_cse_galkqgoksq0	
*.nobelprize.org/*	_cse_galkqgoksq0	
smh.com.au/*	_cse_galkqgoksq0	
*.ilo.org/*	_cse_galkqgoksq0	
*.house.gov/*	_cse_galkqgoksq0	
*.ibiblio.org/*	_cse_galkqgoksq0	
*.legendsofhockey.net/*	_cse_galkqgoksq0	
*.uefa.com/*	_cse_galkqgoksq0	
*.britannica.com/*	_cse_galkqgoksq0	
*.state.gov/*	_cse_galkqgoksq0	
*.klov.com/*	_cse_galkqgoksq0	
*.hbw.com/*	_cse_galkqgoksq0	
*.mit.edu/*	_cse_galkqgoksq0	
*.embl-heidelberg.de/*	_cse_galkqgoksq0	
*.utexas.edu/*	_cse_galkqgoksq0	
*.un.org/*	_cse_galkqgoksq0	
*.usatoday.com/*	_cse_galkqgoksq0	
*.atptennis.com/*	_cse_galkqgoksq0	
telegraph.co.uk/*	_cse_galkqgoksq0	
*.uchicago.edu/*	_cse_galkqgoksq0	
*.jewishencyclopedia.com/*	_cse_galkqgoksq0	
*.marxists.org/*	_cse_galkqgoksq0	
*.boxrec.com/*	_cse_galkqgoksq0	
*.wired.com/*	_cse_galkqgoksq0	
*.basketball-reference.com/*	_cse_galkqgoksq0	
*.forbes.com/*	_cse_galkqgoksq0	
*.harvard.edu/*	_cse_galkqgoksq0	
gov.bc.ca/*	_cse_galkqgoksq0	
*.euskomedia.org/*	_cse_galkqgoksq0	
*.wolfram.com/*	_cse_galkqgoksq0	
*.unt.edu/*	_cse_galkqgoksq0	
*.emporis.com/*	_cse_galkqgoksq0	
*.theyworkforyou.com/*	_cse_galkqgoksq0	
*.ibm.com/*	_cse_galkqgoksq0	
*.sun.com/*	_cse_galkqgoksq0	
*.microsoft.com/*	_cse_galkqgoksq0	
*.fas.org/*	_cse_galkqgoksq0	
timesonline.co.uk/*	_cse_galkqgoksq0	
*.animenewsnetwork.com/*	_cse_galkqgoksq0	
*.time.com/*	_cse_galkqgoksq0	
*.stanford.edu/*	_cse_galkqgoksq0	
*.nationalregisterofhistoricplaces.com/*	_cse_galkqgoksq0	
*.baseballlibrary.com/*	_cse_galkqgoksq0	
*.nba.com/*	_cse_galkqgoksq0	
espn.go.com/*	_cse_galkqgoksq0	
*.rsssf.com/*	_cse_galkqgoksq0	
*.gutenberg.org/*	_cse_galkqgoksq0	
*.npr.org/*	_cse_galkqgoksq0	
abc.net.au/*	_cse_galkqgoksq0	
*.congress.gov/*	_cse_galkqgoksq0	
*.nih.gov/*	_cse_galkqgoksq0	
*.cbc.ca/*	_cse_galkqgoksq0	
*.globalsecurity.org/*	_cse_galkqgoksq0	
*.cnn.com/*	_cse_galkqgoksq0	
*.ethnologue.com/*	_cse_galkqgoksq0	
*.nps.gov/*	_cse_galkqgoksq0	
nces.ed.gov/*	_cse_galkqgoksq0	
*.hockeydb.com/*	_cse_galkqgoksq0	
*.washingtonpost.com/*	_cse_galkqgoksq0	
nscb.gov.ph/*	_cse_galkqgoksq0	
*.navy.mil/*	_cse_galkqgoksq0	
*.biographi.ca/*	_cse_galkqgoksq0	
*.allmusic.com/*	_cse_galkqgoksq0	
*.pbs.org/*	_cse_galkqgoksq0	
guardian.co.uk/*	_cse_galkqgoksq0	
*.newadvent.org/*	_cse_galkqgoksq0	
*.baseball-reference.com/*	_cse_galkqgoksq0	
parl.gc.ca/*	_cse_galkqgoksq0	
bbc.co.uk/*	_cse_galkqgoksq0	
*.findagrave.com/*	_cse_galkqgoksq0	
*.iht.com/*	_cse_galkqgoksq0	1
*.nasa.gov/*	_cse_galkqgoksq0	
*.nytimes.com/*	_cse_galkqgoksq0	1
*.nationalgeographic.com/*	_cse_galkqgoksq0	
*.britannica.com/*	_cse_galkqgoksq0	
*.nsf.gov/*	_cse_galkqgoksq0	
*.nih.gov/*	_cse_galkqgoksq0	
*.nooa.gov/*	_cse_galkqgoksq0	
*.faqs.org/*	_cse_galkqgoksq0	
*.ietf.org/*	_cse_galkqgoksq0	
*.ieee.org/*	_cse_galkqgoksq0	
*.aljazeera.com/*	_cse_galkqgoksq0	
blogs.nytimes.com/*	_cse_exclude_galkqgoksq0	
